_id: 67007855bff50e2c87c7b320, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: false, P6: false, P7: false, P8: true, P9: false, P10: false, P11: false, P12: true, P13: false, P14: false, P15: false, P16: true, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: true, P25: false, P26: false, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b32b, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: false, P17: true, P18: true, P19: false, P20: true, P21: false, P22: true, P23: true, P24: false, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b32c, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: false, P6: true, P7: false, P8: true, P9: false, P10: false, P11: false, P12: false, P13: false, P14: false, P15: true, P16: true, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: true, P24: false, P25: false, P26: true, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b32d, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: false, P4: false, P5: true, P6: true, P7: true, P8: false, P9: false, P10: true, P11: false, P12: false, P13: false, P14: true, P15: true, P16: false, P17: false, P18: false, P19: false, P20: false, P21: true, P22: false, P23: true, P24: true, P25: true, P26: false, P27: false, P28: false, P29: true, P30: true
_id: 67007855bff50e2c87c7b32e, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: false, P9: false, P10: true, P11: false, P12: false, P13: true, P14: false, P15: true, P16: true, P17: true, P18: true, P19: true, P20: false, P21: true, P22: false, P23: false, P24: false, P25: true, P26: true, P27: true, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b32f, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: false, P4: false, P5: true, P6: false, P7: true, P8: false, P9: false, P10: false, P11: false, P12: false, P13: true, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: true, P21: true, P22: false, P23: false, P24: false, P25: false, P26: true, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b330, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: false, P4: false, P5: false, P6: true, P7: true, P8: false, P9: false, P10: false, P11: true, P12: false, P13: true, P14: false, P15: false, P16: true, P17: false, P18: false, P19: false, P20: true, P21: false, P22: false, P23: true, P24: false, P25: false, P26: false, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b331, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: true, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: true, P13: false, P14: true, P15: true, P16: true, P17: true, P18: true, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b332, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: true, P5: false, P6: true, P7: true, P8: true, P9: false, P10: true, P11: false, P12: true, P13: false, P14: false, P15: false, P16: true, P17: true, P18: true, P19: false, P20: true, P21: false, P22: false, P23: false, P24: true, P25: true, P26: true, P27: true, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b333, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: true, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: true, P13: false, P14: false, P15: true, P16: false, P17: false, P18: true, P19: true, P20: false, P21: false, P22: false, P23: true, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: false
_id: 67007855bff50e2c87c7b334, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: true, P10: false, P11: false, P12: false, P13: false, P14: true, P15: false, P16: false, P17: false, P18: true, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: true, P26: false, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b335, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: false, P4: false, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: false, P12: true, P13: true, P14: true, P15: true, P16: false, P17: false, P18: false, P19: false, P20: false, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b336, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: true, P4: true, P5: true, P6: false, P7: false, P8: false, P9: false, P10: false, P11: false, P12: true, P13: true, P14: true, P15: true, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: true, P27: false, P28: true, P29: true, P30: false
_id: 67007855bff50e2c87c7b337, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: true, P13: false, P14: false, P15: true, P16: true, P17: false, P18: true, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: false
_id: 67007855bff50e2c87c7b338, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: true, P5: false, P6: false, P7: false, P8: false, P9: false, P10: false, P11: false, P12: false, P13: false, P14: true, P15: true, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b339, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: false, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: false, P13: true, P14: true, P15: true, P16: false, P17: false, P18: false, P19: true, P20: false, P21: false, P22: false, P23: true, P24: false, P25: true, P26: false, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b33a, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: false, P10: false, P11: false, P12: false, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: false, P21: true, P22: false, P23: false, P24: false, P25: true, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b33b, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: false, P4: false, P5: false, P6: true, P7: true, P8: true, P9: true, P10: false, P11: true, P12: false, P13: false, P14: false, P15: true, P16: true, P17: true, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: true, P27: false, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b33c, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: false, P7: true, P8: false, P9: true, P10: false, P11: false, P12: false, P13: true, P14: false, P15: false, P16: false, P17: false, P18: true, P19: false, P20: false, P21: false, P22: false, P23: true, P24: true, P25: true, P26: true, P27: true, P28: false, P29: false, P30: true
_id: 67007855bff50e2c87c7b33d, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: true, P4: false, P5: true, P6: true, P7: true, P8: true, P9: true, P10: false, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: true, P23: true, P24: false, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b33e, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: false, P6: true, P7: true, P8: true, P9: false, P10: true, P11: true, P12: false, P13: false, P14: false, P15: false, P16: true, P17: true, P18: true, P19: false, P20: true, P21: true, P22: true, P23: true, P24: true, P25: true, P26: false, P27: true, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b33f, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: true, P4: true, P5: false, P6: true, P7: true, P8: false, P9: false, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b340, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: false, P20: true, P21: true, P22: false, P23: false, P24: false, P25: true, P26: false, P27: false, P28: true, P29: true, P30: false
_id: 67007855bff50e2c87c7b341, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: true, P5: true, P6: false, P7: false, P8: false, P9: false, P10: true, P11: true, P12: false, P13: false, P14: true, P15: true, P16: true, P17: false, P18: true, P19: true, P20: true, P21: false, P22: false, P23: false, P24: false, P25: false, P26: true, P27: false, P28: true, P29: true, P30: false
_id: 67007855bff50e2c87c7b342, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: false, P8: true, P9: false, P10: false, P11: true, P12: true, P13: true, P14: true, P15: true, P16: false, P17: false, P18: false, P19: true, P20: false, P21: true, P22: true, P23: false, P24: false, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b343, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: false, P10: false, P11: true, P12: true, P13: true, P14: true, P15: true, P16: false, P17: false, P18: false, P19: false, P20: true, P21: true, P22: false, P23: false, P24: false, P25: true, P26: true, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b344, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: false, P5: true, P6: true, P7: true, P8: true, P9: true, P10: false, P11: true, P12: true, P13: true, P14: true, P15: false, P16: true, P17: true, P18: true, P19: true, P20: true, P21: false, P22: false, P23: true, P24: true, P25: true, P26: false, P27: true, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b345, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: false, P4: true, P5: false, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: false, P23: true, P24: true, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b346, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: false, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b347, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b348, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: false, P4: true, P5: true, P6: true, P7: true, P8: false, P9: true, P10: false, P11: true, P12: true, P13: false, P14: true, P15: true, P16: false, P17: false, P18: false, P19: true, P20: true, P21: false, P22: false, P23: true, P24: false, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b349, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: false, P6: false, P7: false, P8: true, P9: false, P10: false, P11: false, P12: false, P13: true, P14: false, P15: false, P16: false, P17: false, P18: false, P19: true, P20: false, P21: false, P22: false, P23: true, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: false
_id: 67007855bff50e2c87c7b34a, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: false, P4: false, P5: false, P6: true, P7: false, P8: false, P9: false, P10: false, P11: true, P12: false, P13: false, P14: false, P15: false, P16: true, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: true, P26: true, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b34b, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: false, P5: true, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: false, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b34c, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: false, P4: true, P5: false, P6: true, P7: true, P8: false, P9: true, P10: false, P11: false, P12: false, P13: true, P14: false, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: false, P22: false, P23: true, P24: false, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b34d, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: true, P7: false, P8: false, P9: false, P10: false, P11: false, P12: false, P13: false, P14: true, P15: false, P16: false, P17: false, P18: true, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: true, P26: false, P27: false, P28: false, P29: true, P30: false
_id: 67007855bff50e2c87c7b34e, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: false, P6: true, P7: true, P8: true, P9: true, P10: false, P11: true, P12: false, P13: false, P14: true, P15: true, P16: false, P17: false, P18: false, P19: true, P20: false, P21: true, P22: true, P23: true, P24: true, P25: true, P26: false, P27: false, P28: false, P29: true, P30: true
_id: 67007855bff50e2c87c7b34f, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: false, P3: true, P4: false, P5: false, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: false, P13: true, P14: true, P15: true, P16: false, P17: true, P18: true, P19: true, P20: false, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b350, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: true, P5: true, P6: false, P7: true, P8: false, P9: true, P10: false, P11: true, P12: true, P13: true, P14: false, P15: false, P16: false, P17: false, P18: false, P19: true, P20: true, P21: false, P22: false, P23: false, P24: false, P25: true, P26: true, P27: false, P28: true, P29: false, P30: false
_id: 67007855bff50e2c87c7b351, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: false, P13: false, P14: false, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: false
_id: 67007855bff50e2c87c7b352, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: true, P10: false, P11: false, P12: false, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: true, P20: false, P21: false, P22: false, P23: false, P24: false, P25: true, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b353, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: true, P6: false, P7: true, P8: true, P9: true, P10: false, P11: false, P12: true, P13: true, P14: false, P15: false, P16: true, P17: true, P18: true, P19: false, P20: true, P21: true, P22: false, P23: false, P24: true, P25: true, P26: false, P27: true, P28: false, P29: false, P30: true
_id: 67007855bff50e2c87c7b354, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: false, P4: false, P5: true, P6: true, P7: false, P8: true, P9: true, P10: true, P11: true, P12: false, P13: true, P14: true, P15: true, P16: true, P17: true, P18: false, P19: true, P20: true, P21: false, P22: false, P23: true, P24: false, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b355, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: false, P11: false, P12: false, P13: false, P14: true, P15: true, P16: true, P17: true, P18: false, P19: false, P20: true, P21: true, P22: true, P23: true, P24: false, P25: true, P26: true, P27: false, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b356, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: false, P10: false, P11: false, P12: false, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b357, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: false, P4: false, P5: false, P6: true, P7: true, P8: true, P9: true, P10: true, P11: false, P12: false, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: false, P22: false, P23: true, P24: false, P25: false, P26: false, P27: false, P28: false, P29: true, P30: true
_id: 67007855bff50e2c87c7b358, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: true, P8: true, P9: true, P10: true, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b359, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: false, P7: true, P8: false, P9: false, P10: false, P11: false, P12: true, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: true, P24: false, P25: false, P26: true, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b35a, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: false, P7: false, P8: false, P9: false, P10: false, P11: false, P12: false, P13: false, P14: false, P15: false, P16: false, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b35b, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: false, P6: true, P7: true, P8: false, P9: true, P10: false, P11: true, P12: true, P13: false, P14: true, P15: false, P16: true, P17: true, P18: true, P19: true, P20: false, P21: false, P22: false, P23: true, P24: true, P25: true, P26: true, P27: false, P28: true, P29: false, P30: true
_id: 67007855bff50e2c87c7b35c, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: true, P2: true, P3: true, P4: true, P5: true, P6: true, P7: false, P8: false, P9: true, P10: false, P11: true, P12: true, P13: true, P14: true, P15: true, P16: false, P17: true, P18: true, P19: true, P20: true, P21: true, P22: false, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: true
_id: 67007855bff50e2c87c7b35d, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: true, P5: false, P6: false, P7: false, P8: false, P9: false, P10: false, P11: true, P12: true, P13: false, P14: false, P15: false, P16: true, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: false, P25: false, P26: false, P27: false, P28: false, P29: false, P30: false
_id: 67007855bff50e2c87c7b35e, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: false, P4: false, P5: true, P6: true, P7: false, P8: false, P9: false, P10: false, P11: false, P12: true, P13: false, P14: false, P15: false, P16: true, P17: false, P18: false, P19: false, P20: false, P21: false, P22: false, P23: false, P24: true, P25: false, P26: false, P27: false, P28: false, P29: false, P30: true
_id: 67007855bff50e2c87c7b35f, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: true, P3: true, P4: true, P5: true, P6: true, P7: false, P8: true, P9: true, P10: false, P11: false, P12: false, P13: true, P14: true, P15: true, P16: true, P17: false, P18: false, P19: true, P20: true, P21: true, P22: true, P23: false, P24: true, P25: true, P26: true, P27: true, P28: false, P29: true, P30: true
_id: 67007855bff50e2c87c7b360, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: true, P6: true, P7: true, P8: true, P9: true, P10: false, P11: true, P12: true, P13: true, P14: true, P15: true, P16: true, P17: true, P18: true, P19: true, P20: true, P21: true, P22: true, P23: true, P24: true, P25: true, P26: true, P27: true, P28: true, P29: true, P30: false
_id: 67007855bff50e2c87c7b361, age: 12, school: IEP Exitus, typeOfSchool: Particular, province: Piura, district: Piura, P1: false, P2: false, P3: true, P4: false, P5: true, P6: true, P7: true, P8: true, P9: true, P10: false, P11: false, P12: true, P13: false, P14: true, P15: true, P16: true, P17: true, P18: false, P19: true, P20: false, P21: true, P22: false, P23: true, P24: true, P25: true, P26: true, P27: false, P28: true, P29: false, P30: true
